date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-09-07 13:15:09,IbaiLlanos,,503,15409,147063,"Me encuentro muy mal por lo que hice anoche. Este juego va a joderme todo lo que tengo. Perdón @aguerosergiokun.pic.twitter.com/eWXH2k9s4D",,@aguerosergiokun,,1302958585689919488,https://twitter.com/IbaiLlanos/status/1302958585689919488
2020-09-07 10:52:02,IbaiLlanos,thibautcourtois,211,1873,66793,"20.000 favs e invitamos a Keylor Navashttps://twitter.com/thibautcourtois/status/1302882467003727872 …",,,,1302922570753355777,https://twitter.com/IbaiLlanos/status/1302922570753355777
2020-09-06 22:33:33,IbaiLlanos,,128,5458,47300,"NOOOOO JAJDDJDNSNSDNDBSBDpic.twitter.com/ktNDmHiYnE",,,,1302736726591500288,https://twitter.com/IbaiLlanos/status/1302736726591500288
2020-09-06 20:07:20,IbaiLlanos,,81,379,8277,"AMONG US CON: ILLOJUAN BARBE KNEKRO ELMILLOR EL KUN PAPO MC OCELOTE REVEN SILITHUR Y YO ENTRENhttp://twitch.tv/ibai",,,,1302699927953444868,https://twitter.com/IbaiLlanos/status/1302699927953444868
2020-09-06 18:21:42,IbaiLlanos,,207,6238,49326,"pic.twitter.com/z3i5FLDGOq",,,,1302673342571388928,https://twitter.com/IbaiLlanos/status/1302673342571388928
2020-09-06 15:33:17,IbaiLlanos,G2esports,10,19,2107,"JAJASJSNSNS",,,,1302630962296221697,https://twitter.com/IbaiLlanos/status/1302630962296221697
2020-09-06 15:19:43,IbaiLlanos,,398,3935,41784,"Carlos Ocelote Rodríguez me acaba de decir que si G2 PIERDE hoy, habla con BMW para regalaros un coche a uno de vosotros. Todos con FNATIC hoy. Vamos Fnatic.",,,,1302627545960112128,https://twitter.com/IbaiLlanos/status/1302627545960112128
2020-09-06 15:06:40,IbaiLlanos,JonRUrk,1,0,24,"@NilGarcia10 @ChusoMMontero",,@NilGarcia10 @ChusoMMontero,,1302624261425819654,https://twitter.com/IbaiLlanos/status/1302624261425819654
2020-09-06 13:48:20,IbaiLlanos,FoodNetwork,209,1389,16770,"Este tipo de vídeos donde cocinan cosas totalmente aleatorias con música de fondo cuándo cojones van a parar, es que les da igual todo, hay un momento donde pensaba que iban a echar a un señor de 72 años también a la cazuelahttps://twitter.com/FoodNetwork/status/1302415013760598019 …",,,,1302604549212065799,https://twitter.com/IbaiLlanos/status/1302604549212065799
2020-09-06 02:24:31,IbaiLlanos,,614,2214,41505,"¿Todo bien amigos? espero que estén pasando una gran noche, siempre sin alcohol, solo agua por favor, gracias.",,,,1302432460752531458,https://twitter.com/IbaiLlanos/status/1302432460752531458
2020-09-05 23:30:13,IbaiLlanos,AIex_rm,3,0,49,"JAJSSJSNDNDD",,,,1302388598700994573,https://twitter.com/IbaiLlanos/status/1302388598700994573
2020-09-05 23:00:28,IbaiLlanos,GoolDePaulinho,62,28,2404,"Invita",,,,1302381112384270343,https://twitter.com/IbaiLlanos/status/1302381112384270343
2020-09-05 18:55:36,IbaiLlanos,,198,6152,44819,"pic.twitter.com/ADlFYlBy00",,,,1302319488436707328,https://twitter.com/IbaiLlanos/status/1302319488436707328
2020-09-05 12:24:24,IbaiLlanos,,482,10643,89838,"Por favor, tomaos el Among Us en serio, estoy viendo muchos directos donde la gente acusa por acusar y no se juega así. Hay que investigar, tener pruebas y debatir, y si un amigo tuyo simplemente respira VOTADLE ES ESE HIJO DE PUTA EL IMPOSTOR 100% NO DUDÉIS",,,,1302221037958987777,https://twitter.com/IbaiLlanos/status/1302221037958987777
2020-09-05 12:18:18,IbaiLlanos,ArnauVidal_,3,4,66,"Le puedes decir algún sitio que no te lo haya dicho yo a ti? Abrazo tío",,,,1302219504521543687,https://twitter.com/IbaiLlanos/status/1302219504521543687
2020-09-04 23:23:21,IbaiLlanos,,322,3381,43837,"Podemos dejar de discutir por gilipolleces por favor me duele la cabeza",,,,1302024481620340737,https://twitter.com/IbaiLlanos/status/1302024481620340737
2020-09-04 22:21:43,IbaiLlanos,werlyb,3,11,1027,"Es el mejor.",,,,1302008970404671489,https://twitter.com/IbaiLlanos/status/1302008970404671489
2020-09-04 18:39:22,IbaiLlanos,Maria_Iriuri,1,4,633,"GRACIAS MARÍA",,,,1301953014706712584,https://twitter.com/IbaiLlanos/status/1301953014706712584
2020-09-04 16:48:35,IbaiLlanos,,794,16769,132478,"Dando el comunicado más importante de su vida en chanclas Este es tu ídolo? El mío sípic.twitter.com/C8K47bdHZ6",,,,1301925134371086337,https://twitter.com/IbaiLlanos/status/1301925134371086337
2020-09-04 16:25:47,IbaiLlanos,,394,7119,65193,"Messi se va a quedar en el Barça sin querer jugar en el Barça y por no denunciar al club. Pero qué es este puto circo. Yo de verdad que no me lo creo, que pase esto con el mejor jugador de la historia de tu club no tiene sentido.",,,,1301919399536885760,https://twitter.com/IbaiLlanos/status/1301919399536885760
2020-09-04 16:15:23,IbaiLlanos,,343,12272,88629,"FREE MESSI LIBERTAT PRESOS FUTBOLISTICS",,,,1301916779342712837,https://twitter.com/IbaiLlanos/status/1301916779342712837
2020-09-04 15:10:39,IbaiLlanos,,40,95,2810,"Reaccionando a la decisión de Leo Messi + Twitch Rivals de FALL GUYS y AMONG US por la noche Viernes de locoshttp://twitch.tv/ibai",,,,1301900488892350464,https://twitter.com/IbaiLlanos/status/1301900488892350464
2020-09-04 13:30:44,IbaiLlanos,,152,2766,36731,"Me dices cuando era un chaval que en 2020 a lo que iba a estar viciando la gente era al Among Us y Fall Guys y no a algún juego de realidad virtual con coches voladores y robots y te digo que llevas encima más de quince cubatas",,,,1301875345264644097,https://twitter.com/IbaiLlanos/status/1301875345264644097
2020-09-04 10:24:35,IbaiLlanos,Aitorcore,27,42,4336,"Aitor, eres dios",,,,1301828500207349761,https://twitter.com/IbaiLlanos/status/1301828500207349761
2020-09-04 10:22:52,IbaiLlanos,Martinpdisalvo,8,45,5661,"me vas a hacer llorar",,,,1301828068005285888,https://twitter.com/IbaiLlanos/status/1301828068005285888
2020-09-04 10:22:16,IbaiLlanos,Champi_14,2,9,281,"si es lo que tiene que salga 36 segundos",,,,1301827916309897216,https://twitter.com/IbaiLlanos/status/1301827916309897216
2020-09-04 09:55:38,IbaiLlanos,rubenmartinweb,15,10,876,"Gracias Ruben!!",,,,1301821213468250112,https://twitter.com/IbaiLlanos/status/1301821213468250112
2020-09-04 09:52:42,IbaiLlanos,,574,13920,79806,"pic.twitter.com/2AQdiOn3BX",,,,1301820474226348032,https://twitter.com/IbaiLlanos/status/1301820474226348032
2020-09-04 02:20:54,IbaiLlanos,,1351,2393,33512,"Alguien que haya estudiado sobre el tema o tenga la carrera terminada de cómo evitar ir a la nevera y comerte el 97% de las cosas que ves a las cuatro de la mañana me podría dar un consejo? a mí solo se me ocurre estampar mi cabeza contra una pared",,,,1301706773800390656,https://twitter.com/IbaiLlanos/status/1301706773800390656
2020-09-03 18:32:45,IbaiLlanos,MeroStation,14,9,883,"los nuevos mutantes",,,,1301588962579013633,https://twitter.com/IbaiLlanos/status/1301588962579013633
2020-09-03 18:30:45,IbaiLlanos,,115,5449,83732,"Agradecido y educado pero con sinceridadpic.twitter.com/nCvNu4e86z",,,,1301588456594956289,https://twitter.com/IbaiLlanos/status/1301588456594956289
2020-09-03 11:58:17,IbaiLlanos,,149,4924,37386,"pic.twitter.com/OwdThoyPJq",,,,1301489689401217024,https://twitter.com/IbaiLlanos/status/1301489689401217024
2020-09-03 09:58:52,IbaiLlanos,LMDShow,14,27,1307,"No te da vergüenza quitarle el puesto a Keroro? chaval se te está subiendo la fama a la cabeza, reflexiona",,,,1301459640572674050,https://twitter.com/IbaiLlanos/status/1301459640572674050
2020-09-03 09:57:18,IbaiLlanos,Lynwulf,1,5,322,"DIOOOOOOOOOOSSSSWWW",,,,1301459242654851073,https://twitter.com/IbaiLlanos/status/1301459242654851073
2020-09-03 06:42:49,IbaiLlanos,,239,1055,29127,"He madrugado y he dormido una mierda pero estoy feliz. Soy un hijo de puta. Pido perdón a todos los amargados de estas horas, no volverá a pasar. No me reconozco.",,,,1301410301573763072,https://twitter.com/IbaiLlanos/status/1301410301573763072
2020-09-03 06:38:18,IbaiLlanos,,134,594,23879,"Buenos días a todos. Fueron 16 horas en vez de 24 pero acabe totalmente fundido, llegamos a ser 115.000 personas en directo, récord de mi vida sin contar el torneo de LaLiga. Gracias a todos, os doy un besito a cada uno. En mi opinión, el mejor directo que hemos hecho nunca.",,,,1301409163306823680,https://twitter.com/IbaiLlanos/status/1301409163306823680
2020-09-03 00:16:32,IbaiLlanos,,154,2367,40945,"pic.twitter.com/zIkIldSe5B",,,,1301313091641188354,https://twitter.com/IbaiLlanos/status/1301313091641188354
2020-09-02 23:55:25,IbaiLlanos,,129,1328,21332,"2:00 de la madrugada, situación de mi habitación: JAJASJSNSNpic.twitter.com/h4sQQ7mmn8",,,,1301307777512550402,https://twitter.com/IbaiLlanos/status/1301307777512550402
2020-09-02 21:08:57,IbaiLlanos,,687,5976,80947,"Se hizo. Gracias @Pol_tattoopic.twitter.com/1r2mtEkm7A",,@Pol_tattoopic,,1301265883126431745,https://twitter.com/IbaiLlanos/status/1301265883126431745
2020-09-02 20:21:14,IbaiLlanos,,382,3316,11782,"Ha llegado el momento. Es el turno de tatuarse a Doraemonhttp://twitch.tv/ibai",,,,1301253873261260802,https://twitter.com/IbaiLlanos/status/1301253873261260802
2020-09-02 13:45:59,IbaiLlanos,,229,4005,53946,"MIRAD QUÉ COSITA @FallGuysGame SÁQUENLOpic.twitter.com/DhiqeMre4R",,@FallGuysGame,,1301154404750569473,https://twitter.com/IbaiLlanos/status/1301154404750569473
2020-09-02 10:22:37,IbaiLlanos,,169,1771,13365,"ESPECIAL 24 HORAS HOY NOS TATUAMOS TODOS RT Y ENTREN http://Twitch.tv/ibai pic.twitter.com/gCoQ7p5trR",,,,1301103228826923008,https://twitter.com/IbaiLlanos/status/1301103228826923008
2020-09-01 23:14:47,IbaiLlanos,Silithur,11,37,3051,"Alguien te ha preguntado amigo? un abrazo te quiero",,,,1300935161241104386,https://twitter.com/IbaiLlanos/status/1300935161241104386
2020-09-01 20:33:52,IbaiLlanos,,775,1848,45162,"Creo que todavía no soy consciente de que en 24 horas tendré a Dorameon tatuado en mi cuerpo. Soy gilipollas. Y encima es el primer tatuaje de mi vida, pero bueno pensemos en positivo, por lo menos no es el puto Shin Chan de los cojones.",,,,1300894667156975617,https://twitter.com/IbaiLlanos/status/1300894667156975617
2020-09-01 20:30:11,IbaiLlanos,,8,104,1050,"@G2ArcticES SOIS DIOOOOOOOOOOOOSES",,@G2ArcticES,,1300893740333228035,https://twitter.com/IbaiLlanos/status/1300893740333228035
2020-09-01 20:22:27,IbaiLlanos,JonRUrk,8,6,472,"la academia de G2 está ganando a Giants?????",,,,1300891794415255552,https://twitter.com/IbaiLlanos/status/1300891794415255552
2020-09-01 18:20:49,IbaiLlanos,,100,875,15605,"pic.twitter.com/Y9qnN5mk3v",,,,1300861182430109697,https://twitter.com/IbaiLlanos/status/1300861182430109697
2020-09-01 16:20:49,IbaiLlanos,LEGIQN,387,8001,44175,"Tengo lágrimas en los ojoshttps://twitter.com/LEGIQN/status/1300586638100361216 …",,,,1300830981864206338,https://twitter.com/IbaiLlanos/status/1300830981864206338
2020-09-01 11:49:11,IbaiLlanos,,331,9358,69478,"Nah, estoy llorando, esto es increíblepic.twitter.com/d8UbbA5LgZ",,,,1300762625496805376,https://twitter.com/IbaiLlanos/status/1300762625496805376
2020-09-01 11:04:01,IbaiLlanos,Warreneta_,1,4,59,"Dos años para ganar un Bo5 de milagro y no era ni la final sjsbssjdj",,,,1300751257162969088,https://twitter.com/IbaiLlanos/status/1300751257162969088
2020-09-01 10:27:45,IbaiLlanos,,315,4928,46846,"Pasen buen día amigos, les deseo el mejor mes posible, septiembre suena un poco a puta mierda y no os voy a engañar, probablemente lo sea, así que muchas fuerza y un abrazo",,,,1300742133507293189,https://twitter.com/IbaiLlanos/status/1300742133507293189
2020-09-01 00:04:48,IbaiLlanos,,344,916,37690,"La verdad es que no sé a qué se debe este crecimiento las últimas semanas pero llegar a 70.000-90.000 viewers en los últimos streamings me parece un absoluto sin sentido. No sé ni qué decir. Todo esto ha superado mis expectativas por 10 o por 20. Gracias de corazón.",,,,1300585362113400832,https://twitter.com/IbaiLlanos/status/1300585362113400832
2020-08-31 20:19:07,IbaiLlanos,AidaVilarino,10,55,3774,"Lo siento amiga, no hay una solución para esto.",,,,1300528566531174400,https://twitter.com/IbaiLlanos/status/1300528566531174400
2020-08-31 20:05:10,IbaiLlanos,,76,228,5119,"Reven El Reven fake Ander Werlyb Kuentin Knekro Silithur BarbeQ Elmillor Ibai La mejor partida de Among Us que vas a ver en tu vida Os esperohttp://twitch.tv/ibai",,,,1300525055651319809,https://twitter.com/IbaiLlanos/status/1300525055651319809
2020-08-31 19:41:51,IbaiLlanos,G2esports,16,39,2365,"Y YO",,,,1300519185701916673,https://twitter.com/IbaiLlanos/status/1300519185701916673
2020-08-31 18:54:36,IbaiLlanos,,285,2709,35588,"Los colegas de @G2esports han colaborado en la donación de un millón de dólares en una iniciativa de Fall Guys y como agradecimiento vamos a tener nuestra propia skin dentro del juego DE LOCOSSSSS quiero veros a todos con estopic.twitter.com/k31xnobg41",,@G2esports,,1300507298117419009,https://twitter.com/IbaiLlanos/status/1300507298117419009
2020-08-31 16:16:00,IbaiLlanos,,337,342,14634,"pic.twitter.com/FOUwBP8Env",,,,1300467381865713672,https://twitter.com/IbaiLlanos/status/1300467381865713672
2020-08-31 12:09:52,IbaiLlanos,,374,2188,45454,"Acabo de dormir ocho horas seguidas por primera vez en meses y tengo ganas hasta de llorar joder qué sensación más maravillosa, los que conseguís hacer esto todos los días de verdad que os envidio mucho cabrones",,,,1300405441479008256,https://twitter.com/IbaiLlanos/status/1300405441479008256
2020-08-30 23:53:30,IbaiLlanos,,3681,647,34002,"Estoy tumbado en la cama mirando al techo y me gustaría leeros un rato Contadme, ¿qué os preocupa?",,,,1300220129586933760,https://twitter.com/IbaiLlanos/status/1300220129586933760
2020-08-30 21:39:03,IbaiLlanos,,140,3862,35544,"El mejor jugador de Among Us del planetapic.twitter.com/sFiXZbCKlz",,,,1300186292475637761,https://twitter.com/IbaiLlanos/status/1300186292475637761
2020-08-30 19:33:00,IbaiLlanos,FedeTassiello,3,1,33,"Yo sin ti no vuelvo a enamorarme",,,,1300154574087639042,https://twitter.com/IbaiLlanos/status/1300154574087639042
2020-08-30 19:31:54,IbaiLlanos,,604,6302,52649,"Ozuna - El Farsante top 3 temas de la historia de la música No discuto con nadie, son datos. Disculpen.",,,,1300154294407225345,https://twitter.com/IbaiLlanos/status/1300154294407225345
2020-08-30 19:18:56,IbaiLlanos,BulGameR_,7,5,456,"ya tienes dos cosas negativas entonces",,,,1300151033277095938,https://twitter.com/IbaiLlanos/status/1300151033277095938
2020-08-30 17:35:25,IbaiLlanos,jmegia15,0,1,183,"JASKDJDJDNS",,,,1300124981687455744,https://twitter.com/IbaiLlanos/status/1300124981687455744
2020-08-30 15:30:31,IbaiLlanos,,281,11957,67681,"Este es tu ídolo????? el mío sipic.twitter.com/QvDmopkQ0O",,,,1300093548302344192,https://twitter.com/IbaiLlanos/status/1300093548302344192
2020-08-30 11:17:20,IbaiLlanos,NairMillos,2,1,32,"Tengo 9 victorias y Keroro va en otro equipo. Son dos equipos españoles.",,,,1300029835587223552,https://twitter.com/IbaiLlanos/status/1300029835587223552
2020-08-30 11:11:38,IbaiLlanos,,376,1452,27142,"Ya os puedo decir que representaré a nuestro país en el primer Twitch Rivals de Fall Guys Mi equipo: - @KNekro - @Perxitaa - @LMDShow Llevo más de 100 horas jugadas. 50.000 euros en juego. Van a ser nuestros y los vamos a repartir. VAMOSSS",,@KNekro @Perxitaa @LMDShow,,1300028399856103424,https://twitter.com/IbaiLlanos/status/1300028399856103424
2020-08-29 23:29:06,IbaiLlanos,,313,1914,31378,"No juguéis al Among Us. Vais a acabar sin amigos y dándonos de hostias con ellos.",,,,1299851601188921344,https://twitter.com/IbaiLlanos/status/1299851601188921344
2020-08-29 19:41:23,IbaiLlanos,,99,1452,17779,"La temporada de G2pic.twitter.com/AV83IhPGpK",,,,1299794292526010369,https://twitter.com/IbaiLlanos/status/1299794292526010369
2020-08-29 19:06:48,IbaiLlanos,,320,4026,43826,"“El puto Ibai con los seguidores que tiene seguro que acaba con un cinco estrellas michelin cocinando en la casa” Primer mail que leo:pic.twitter.com/nXSFokKyeS",,,,1299785592604164098,https://twitter.com/IbaiLlanos/status/1299785592604164098
2020-08-29 16:17:49,IbaiLlanos,justeffe,1,3,7,"es verdad perdón",,,,1299743065624764416,https://twitter.com/IbaiLlanos/status/1299743065624764416
2020-08-29 16:06:55,IbaiLlanos,,2636,4280,26408,"AMIGOS AMIGAS BUSCAMOS COCINERO/COCINERA para nuestra casa de G2. Si eres DIOS haciendo paellas no lo dudes y mándanos tu CV a ibai@vizz-agency.com o responde a este tuit. Se agradecen RTs mis preciosos",,@vizz,,1299740322948362241,https://twitter.com/IbaiLlanos/status/1299740322948362241
2020-08-29 15:55:27,IbaiLlanos,,13,16,528,"@DavidBayon lávate las manos cerdopic.twitter.com/4r7lRPoe0D",,@DavidBayon,,1299737438546518020,https://twitter.com/IbaiLlanos/status/1299737438546518020
2020-08-29 15:01:13,IbaiLlanos,putarranca,28,10,699,"Esta imagen es real?",,,,1299723789228486656,https://twitter.com/IbaiLlanos/status/1299723789228486656
2020-08-29 14:57:47,IbaiLlanos,G2Ander,18,69,2859,"yo hoy me levanté con ganas de abrazar a mami",,,,1299722926002974720,https://twitter.com/IbaiLlanos/status/1299722926002974720
2020-08-29 14:57:45,IbaiLlanos,,153,4025,32940,"Solo venía a decirles que esta abuela japonesa de 90 años juega mejor al Fall Guys que nosotrospic.twitter.com/lBmJDBCy2Z",,,,1299722915156459521,https://twitter.com/IbaiLlanos/status/1299722915156459521
2020-08-29 14:01:48,IbaiLlanos,inyustificado,15,5,267,"Probablemente, ni idea. Supongo que será por estar en G2.",,,,1299708836178165761,https://twitter.com/IbaiLlanos/status/1299708836178165761
2020-08-29 13:59:20,IbaiLlanos,inyustificado,53,42,1932,"No puedo reaccionar al partido sin imagen y sin sonido, lo he preguntado y no puedo. Que no pasa nada pero que mucha gente me dice que lo haga así y es que simplemente no puedo.",,,,1299708214792065025,https://twitter.com/IbaiLlanos/status/1299708214792065025
2020-08-29 12:47:12,IbaiLlanos,SpainFury,6,12,1132,"Muchísimas gracias amigo, se agradece el comentario",,,,1299690063757017088,https://twitter.com/IbaiLlanos/status/1299690063757017088
2020-08-29 10:37:49,IbaiLlanos,,132,2508,20487,"OLIVER Y BENJI: EL VIDEOJUEGO Os invito yo a este viaje a la infancia, montad que os llevo.pic.twitter.com/c7sL2t0Pay",,,,1299657501189832705,https://twitter.com/IbaiLlanos/status/1299657501189832705
2020-08-29 00:58:26,IbaiLlanos,fandelchavit0,4,4,339,"Eres grande amigo",,,,1299511695732281344,https://twitter.com/IbaiLlanos/status/1299511695732281344
2020-08-29 00:04:56,IbaiLlanos,Rickyexp,22,26,1280,"Acaba de venir Ronaldinho a mi casa no es broma",,,,1299498230259027973,https://twitter.com/IbaiLlanos/status/1299498230259027973
2020-08-28 23:59:52,IbaiLlanos,jpedrerol,16,62,4292,"No te cortes amigo, tenemos mucho que hablar",,,,1299496957996564484,https://twitter.com/IbaiLlanos/status/1299496957996564484
2020-08-28 23:54:05,IbaiLlanos,G2House_OOC,13,4,580,"Discord",,,,1299495501063225344,https://twitter.com/IbaiLlanos/status/1299495501063225344
2020-08-28 23:51:12,IbaiLlanos,,1131,3185,51367,"Alguien quiere hacer una quedada online y emborracharnos mientras nos contamos nuestras mierdas",,,,1299494775880658945,https://twitter.com/IbaiLlanos/status/1299494775880658945
2020-08-28 23:47:35,IbaiLlanos,LogitechG_ES,7,11,458,"Sí",,,,1299493863049113600,https://twitter.com/IbaiLlanos/status/1299493863049113600
2020-08-28 20:10:30,IbaiLlanos,eloniz,6,3,350,"Acabas de ver la nueva de Nolan? no te rayes broder",,,,1299439234533728259,https://twitter.com/IbaiLlanos/status/1299439234533728259
2020-08-28 20:08:53,IbaiLlanos,,380,1570,30935,"Lluvia, tormenta e incluso frío ahora mismo en Barcelona. Esto es el jodido paraíso. Un fuerte abrazo a todos los que estáis aguantando una sensación de 47 grados en vuestra ciudad. Mucho ánimo.",,,,1299438828663472128,https://twitter.com/IbaiLlanos/status/1299438828663472128
2020-08-28 15:09:49,IbaiLlanos,Septiembre_ilus,6,4,865,"ME HE MAREADO ESTO ES LA HOSTIA",,,,1299363565284003840,https://twitter.com/IbaiLlanos/status/1299363565284003840
2020-08-28 15:09:48,IbaiLlanos,,755,19210,109374,"Este hombre se ha reído de millones de personas. Ídolo.pic.twitter.com/9PHjnPkNP9",,,,1299363559923691521,https://twitter.com/IbaiLlanos/status/1299363559923691521
2020-08-28 13:50:54,IbaiLlanos,,758,3707,29635,"LOS MEJORES CASCOS DEL MUNDO @LogitechG_ES @G2esportspic.twitter.com/Oc80VNpJd0",,@LogitechG_ES @G2esportspic,,1299343705489510400,https://twitter.com/IbaiLlanos/status/1299343705489510400
2020-08-28 09:36:07,IbaiLlanos,,183,3420,45348,"Ahora puedes llevar a un viewer de Twitch en formato pulserapic.twitter.com/e2zJFqGsMU",,,,1299279587885670400,https://twitter.com/IbaiLlanos/status/1299279587885670400
2020-08-28 00:18:14,IbaiLlanos,,459,6251,67191,"Voy a empezar mi campaña para salvar el 2021 y voy a decir que 2021 va a ser un año de putísima mierda, confiad en mi, será un año de enorme mierda",,,,1299139191444590592,https://twitter.com/IbaiLlanos/status/1299139191444590592
2020-08-27 19:32:36,IbaiLlanos,,380,3225,37411,"NUEVA TEMPORADA DE FALL GUYS NUEVOS MAPAS NUEVOS MODOS NUEVAS SKINS LAS MISMAS VICTORIAS= NINGUNApic.twitter.com/a5Tc1I5k7d",,,,1299067310192373760,https://twitter.com/IbaiLlanos/status/1299067310192373760
2020-08-27 15:57:53,IbaiLlanos,Valentinaanahel,28,63,6122,"MÁNDAMELO A CASA QUE LO PONGO EN LA PARED DEL STREAM",,,,1299013272629317639,https://twitter.com/IbaiLlanos/status/1299013272629317639
2020-08-27 15:52:16,IbaiLlanos,,259,3309,45140,"MI SKIN DE FALL GUYS SÁQUENLA @FallGuysGame GRACIAS @reckferspic.twitter.com/MIh35mNbPT",,@FallGuysGame @reckferspic,,1299011861732614147,https://twitter.com/IbaiLlanos/status/1299011861732614147
2020-08-27 15:29:44,IbaiLlanos,,19,43,1514,"@werlyb @CarlosR nos ha llegado estopic.twitter.com/FvvT7sWVdX",,@werlyb @CarlosR,,1299006188881940480,https://twitter.com/IbaiLlanos/status/1299006188881940480
2020-08-27 12:20:27,IbaiLlanos,ToadAmarillo,6,6,394,"Sí. Y no es broma.",,,,1298958552959197184,https://twitter.com/IbaiLlanos/status/1298958552959197184
2020-08-27 12:16:42,IbaiLlanos,,236,1342,22712,"Miércoles 2 de septiembre, especial 24 horas (o hasta que me duerma) en mi canal de Twitch. Ese será el día donde me tatuaré a Doraemon. Todos los de la casa nos tatuaremos en directo para recordar esta bonita etapa juntos Habrá regalos e invitados especiales No se lo pierdan.",,,,1298957609404428288,https://twitter.com/IbaiLlanos/status/1298957609404428288
2020-08-27 11:02:26,IbaiLlanos,ohsibenik,4,1,112,"Me acaba de seguir en twitter mientras leía este tuitpic.twitter.com/Sih3xj79iH",,,,1298938922613997568,https://twitter.com/IbaiLlanos/status/1298938922613997568
2020-08-27 09:46:11,IbaiLlanos,Korah_FF,9,7,392,"Qué acabas de hacer",,,,1298919733224407040,https://twitter.com/IbaiLlanos/status/1298919733224407040
2020-08-27 09:20:34,IbaiLlanos,Nupakito,659,5562,44275,"Creo, honestamente, que pase lo que pase en la historia de internet va a ser prácticamente imposible superar a este genio. Se debería analizar en los colegios este discurso.https://twitter.com/Nupakito/status/1298374182842105857 …",,,,1298913283219632128,https://twitter.com/IbaiLlanos/status/1298913283219632128
2020-08-27 01:23:57,IbaiLlanos,,78,1420,19326,"pic.twitter.com/2vKX4HHaS1",,,,1298793342243934208,https://twitter.com/IbaiLlanos/status/1298793342243934208
2020-08-27 01:21:33,IbaiLlanos,myketowerspr,16,35,2171,"",,,,1298792736351543297,https://twitter.com/IbaiLlanos/status/1298792736351543297
2020-08-26 22:53:37,IbaiLlanos,,113,3939,37520,"pic.twitter.com/gfqPV4FG3Z",,,,1298755508401303552,https://twitter.com/IbaiLlanos/status/1298755508401303552
2020-08-26 19:24:52,IbaiLlanos,IbaiLlanos,164,1546,17463,"Llevo una semana hablando como Miguel Bosé en el video del covid. No me escondo. No puedo parar de hacerlo y necesito ayuda.https://twitter.com/IbaiLlanos/status/1298697687068532736 …",,,,1298702974571642880,https://twitter.com/IbaiLlanos/status/1298702974571642880
2020-08-26 19:03:51,IbaiLlanos,IbaiLlanos,107,1484,11351,"pic.twitter.com/pHecfhy3Kf",,,,1298697687068532736,https://twitter.com/IbaiLlanos/status/1298697687068532736
2020-08-26 18:54:55,IbaiLlanos,NilGarcia10,3,11,515,"yo a miguel Bosé hablando del covid",,,,1298695436442763266,https://twitter.com/IbaiLlanos/status/1298695436442763266
2020-08-26 16:35:48,IbaiLlanos,elayuriii,8,36,2764,"345, ración media en Euskadi",,,,1298660427384131584,https://twitter.com/IbaiLlanos/status/1298660427384131584
